ID;preflabel;definition ;SoilVoc_concepts;broader match;exact match;close match;source (name type of source DOI, ISBN etc);publishing organisation;titel or reference to document
ecosystem_services_carbon_removal;Carbon removal;the anthropogenic removal of carbon from the atmosphere and its durable storage in geological, terrestrial or ocean reservoirs, or in long-lasting products;https://soilwise-he.github.io/soil-health#RegulatingServices;https://data.geoscience.earth/ncl/EGDI_Keyword/2391; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_permanent_carbon_removal;Permanent carbon removal;any practice or process that, under normal circumstances and using appropriate management practices, captures and stores atmospheric or biogenic carbon for several centuries, including permanently chemically bound carbon in products, and which is not combined with enhanced hydrocarbon recovery;https://soilwise-he.github.io/soil-health#SoilManagement;https://data.geoscience.earth/ncl/EGDI_Keyword/2391; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_carbon_farming;Carbon farming;any practice or process carried out over an activity period of at least five years, related to the management of a terrestrial or coastal environment and resulting in the capture and temporary storage of atmospheric or biogenic carbon in biogenic carbon pools, or in the reduction of soil emissions;https://soilwise-he.github.io/soil-health#SoilManagement;http://aims.fao.org/aos/agrovoc/c_74584515; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_carbon_storage_in_products;Carbon storage in products;any practice or process that captures and stores atmospheric or biogenic carbon for at least 35 years in long-lasting products, allows on-site monitoring of the carbon stored and is certified throughout the monitoring period;https://soilwise-he.github.io/soil-health#ProvisioningServices;"https://data.geoscience.earth/ncl/EGDI_Keyword/2391; http://opendata.inrae.fr/thesaurusINRAE/c_4177"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_soil_emission_reduction;Soil emission reduction;"The reduction of net greenhouse gas emissions from biogenic carbon pools as listed in Section B, points (e) and (f), of Annex I to Regulation (EU) 2018/841 or the reduction of greenhouse gas emissions from the IPCC source category of agriculture, subcategory of 3.D agricultural soils, as determined pursuant to Regulation (EU) 2018/1999 and the implementing acts adopted pursuant to it, where the relevant activity, overall, reduces the emission of carbon from soil carbon pools or increases carbon removals in biogenic carbon pools;";https://soilwise-he.github.io/soil-health#ClimateRegulation;"http://www.eionet.europa.eu/gemet/concept/15088; http://aims.fao.org/aos/agrovoc/c_331597"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_activity;activity;"one or more practices or processes carried out by an operator, or a group of operators, resulting in a permanent carbon removal, a temporary carbon removal through carbon farming or through carbon storage in products, or soil emission reductions through carbon farming where such carbon farming, overall, reduces the emissions of carbon from soil carbon pools or increases carbon removals in biogenic carbon pools;";https://soilwise-he.github.io/soil-health#SoilManagement;"http://www.eionet.europa.eu/gemet/concept/15372; http://www.eionet.europa.eu/gemet/concept/468"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
chemical_physical_or_biological_soil_properties_biogenic_carbon_pool;Biogenic carbon pool;living biomass, litter, deadwood, dead organic matter, mineral soils and organic soils as listed in Section B, points (a) to (f), of Annex I to Regulation (EU) 2018/841;https://soilwise-he.github.io/soil-health#SoilOrganicMatter;;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_operator;Operator;"any natural or legal person or public entity that operates or controls an activity, or to whom or to which decisive economic power over the technical functioning of the activity has been delegated; in the case of a carbon farming activity, ‘operator’ means a farmer as defined in Article 3, point (1), of Regulation (EU) 2021/2115, any other manager of an activity in a terrestrial or coastal environment, a forest owner or manager as defined by national law, or a competent public entity";-;;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_group_of_operators;Group of operators;"a legal entity that represents at least two operators and is responsible for ensuring that those operators comply with this Regulation;";-;;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_activity_period;Activity period;a period during which the activity generates a net carbon removal benefit or a net soil emission reduction benefit, and which is determined in the applicable certification methodology;https://soilwise-he.github.io/soil-health#NonsoilIndicators; ; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_monitoring_period;Monitoring period;"a period during which the soil emission reduction or storage of carbon is monitored by an operator or a group of operators, which covers at least the activity period, and which is determined in the applicable certification methodology;";https://soilwise-he.github.io/soil-health#NonsoilIndicators;"http://www.eionet.europa.eu/gemet/concept/5346; http://aims.fao.org/aos/agrovoc/c_4911; http://dbpedia.org/resource/Monitoring"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_permanently_chemically_bound_carbon_in_products;Permanently chemically bound carbon in products;carbon chemically stored within a product with the result that it does not enter the atmosphere under normal use of the product, including any normal activity taking place after the end of life of the product, in accordance with Article 12(3b) of Directive 2003/87/EC;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_functions_geological_storage_of_CO2;Geological storage of CO2;geological storage of CO2 as defined in Article 3, point 1, of Directive 2009/31/EC;https://soilwise-he.github.io/soil-health#Lithology; https://data.geoscience.earth/ncl/EGDI_Keyword/2391; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification body;an accredited or recognised independent conformity assessment body that has concluded an agreement with a certification scheme to carry out certification audits and issue certificates of compliance; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132;  http://www.eionet.europa.eu/gemet/concept/13292"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification scheme;an organisation that certifies the compliance of activities and operators with the quality criteria and certification rules set out in this Regulation; ;http://opendata.inrae.fr/thesaurusINRAE/c_22132 ; ;http://aims.fao.org/aos/agrovoc/c_06049ef3;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification audit;an audit carried out by a certification body; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132; http://aims.fao.org/aos/agrovoc/c_37956; ttp://www.eionet.europa.eu/gemet/concept/2776"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Re-certification audit;an audit carried out in the process of renewing a certificate of compliance issued by a certification body; ;;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certificate of compliance;a conformity statement issued by a certification body certifying that an activity complies with this Regulation; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132; http://aims.fao.org/aos/agrovoc/c_866a88e5"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_permanent_carbon_removal_unit;Permanent carbon removal unit;"one metric tonne of CO2 equivalent of certified permanent net carbon removal benefit generated by a permanent carbon removal activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;";https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_soil_emission_reduction_unit;soil emission reduction unit;one metric tonne of CO2 equivalent of certified net soil emission reduction benefit generated by a carbon farming activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_threats_reversal;Reversal;in the case of geological storage of CO2, leakage as defined in Article 3, point 5, of Directive 2009/31/EC and, for other activities, the voluntary or involuntary release back into the atmosphere of carbon captured and stored by an activity;https://soilwise-he.github.io/soil-health#SoilGaseousEmission; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_carbon_farming_sequestration_unit;Carbon farming sequestration unit;one metric tonne of CO2 equivalent of certified temporary net carbon removal benefit generated by a carbon farming activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_carbon_storage_in_product_unit;Carbon storage in product unit;one metric tonne of CO2 equivalent of certified temporary net carbon removal benefit generated by a carbon storage in product activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
<facetgroup><preflabel_in_English_without_spaces>;The ID is language-independent,;;Search soilwise vocabs for term this defenition falls under;broader term to narrower term -> reference to URI from agrovoc or eurovoc (or other) or ID when in same table;exact and close match -> reference to URI;;;;
