prefLabel,altLabels,displayName,uri,baseline_origin
A horizons,,A horizons,http://aims.fao.org/aos/agrovoc/c_47a98f68,NARROWER_DESCENDANT
abrasion,,abrasion,http://aims.fao.org/aos/agrovoc/c_9709308a,NARROWER_DESCENDANT
acid soils,,acid soils,http://aims.fao.org/aos/agrovoc/c_89,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
acid sulphate soils,acid sulfate soils,acid sulphate soils (acid sulfate soils),http://aims.fao.org/aos/agrovoc/c_36929,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Acrisols,ultisols,Acrisols (ultisols),http://aims.fao.org/aos/agrovoc/c_101,NARROWER_DESCENDANT
aeroponics,,aeroponics,http://aims.fao.org/aos/agrovoc/c_34200,NARROWER_DESCENDANT
age of soil,soil age,age of soil (soil age),http://aims.fao.org/aos/agrovoc/c_7157,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
agricultural lime,,agricultural lime,http://aims.fao.org/aos/agrovoc/c_12182,NARROWER_DESCENDANT
agricultural soils,,agricultural soils,http://aims.fao.org/aos/agrovoc/c_33934,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
agrology,,agrology,http://aims.fao.org/aos/agrovoc/c_8688,NARROWER_DESCENDANT
Alisols,,Alisols,http://aims.fao.org/aos/agrovoc/c_479c499a,NARROWER_DESCENDANT
alkaline soils,,alkaline soils,http://aims.fao.org/aos/agrovoc/c_268,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
alluvial soils,,alluvial soils,http://aims.fao.org/aos/agrovoc/c_296,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
aluminium mulches,,aluminium mulches,http://aims.fao.org/aos/agrovoc/c_207ace25,NARROWER_DESCENDANT
ammonium fixation,,ammonium fixation,http://aims.fao.org/aos/agrovoc/c_32373,NARROWER_DESCENDANT
Andosols,andic soils; andisols,"Andosols (andic soils, andisols)",http://aims.fao.org/aos/agrovoc/c_404,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
anthropogenic soils,anthropogenic soil types; manmade soils,"anthropogenic soils (anthropogenic soil types, manmade soils)",http://aims.fao.org/aos/agrovoc/c_486,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Anthrosols,,Anthrosols,http://aims.fao.org/aos/agrovoc/c_4515b13e,NARROWER_DESCENDANT
aquaponics,,aquaponics,http://aims.fao.org/aos/agrovoc/c_9001000,NARROWER_DESCENDANT
arable soils,cultivable soil,arable soils (cultivable soil),http://aims.fao.org/aos/agrovoc/c_568,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Arenosols,,Arenosols,http://aims.fao.org/aos/agrovoc/c_601,NARROWER_DESCENDANT
arid soils,,arid soils,http://aims.fao.org/aos/agrovoc/c_612,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
aridisols,,aridisols,http://aims.fao.org/aos/agrovoc/c_490e91f0,NARROWER_DESCENDANT
B horizons,,B horizons,http://aims.fao.org/aos/agrovoc/c_6381571a,NARROWER_DESCENDANT
bark mulches,,bark mulches,http://aims.fao.org/aos/agrovoc/c_bc5f6400,NARROWER_DESCENDANT
basaltic soils,,basaltic soils,http://aims.fao.org/aos/agrovoc/c_832,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
beach erosion,,beach erosion,http://aims.fao.org/aos/agrovoc/c_f1a870c8,NARROWER_DESCENDANT
bentonite,,bentonite,http://aims.fao.org/aos/agrovoc/c_15620,NARROWER_DESCENDANT
biodrainage,,biodrainage,http://aims.fao.org/aos/agrovoc/c_ac7696b9,NARROWER_DESCENDANT
bioerosion,erosion (biological),bioerosion (erosion (biological)),http://aims.fao.org/aos/agrovoc/c_05cd5033,NARROWER_DESCENDANT
biological activity in soil,,biological activity in soil,http://aims.fao.org/aos/agrovoc/c_9264,DIRECT_LABEL_MATCH
bioponics,biological hydroponics; organic hydroponics,"bioponics (biological hydroponics, organic hydroponics)",http://aims.fao.org/aos/agrovoc/c_d7348dbe,NARROWER_DESCENDANT
bioturbation,,bioturbation,http://aims.fao.org/aos/agrovoc/c_a3354940,NARROWER_DESCENDANT
bog soils,,bog soils,http://aims.fao.org/aos/agrovoc/c_986,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
boron content,,boron content,http://aims.fao.org/aos/agrovoc/c_f52b8ef5,NARROWER_DESCENDANT
bottom erosion,deep-sea erosion; submarine erosion; underwater erosion,"bottom erosion (deep-sea erosion, submarine erosion, underwater erosion)",http://aims.fao.org/aos/agrovoc/c_35687419,NARROWER_DESCENDANT
bottomland soils,,bottomland soils,http://aims.fao.org/aos/agrovoc/c_1033,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
boulder clay soils,,boulder clay soils,http://aims.fao.org/aos/agrovoc/c_1036,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
bund former,,bund former,http://aims.fao.org/aos/agrovoc/c_330674,NARROWER_DESCENDANT
buried soils,,buried soils,http://aims.fao.org/aos/agrovoc/c_1154,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
C horizons,,C horizons,http://aims.fao.org/aos/agrovoc/c_016fddeb,NARROWER_DESCENDANT
calamine soils,,calamine soils,http://aims.fao.org/aos/agrovoc/c_1189,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
calcareous soils,,calcareous soils,http://aims.fao.org/aos/agrovoc/c_1194,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Calcisols,,Calcisols,http://aims.fao.org/aos/agrovoc/c_ea60e31f,NARROWER_DESCENDANT
calcitic lime (amendment),,calcitic lime (amendment),http://aims.fao.org/aos/agrovoc/c_36453,NARROWER_DESCENDANT
Cambisols,,Cambisols,http://aims.fao.org/aos/agrovoc/c_1224,NARROWER_DESCENDANT
chain harrows,,chain harrows,http://aims.fao.org/aos/agrovoc/c_0619dd9e,NARROWER_DESCENDANT
chalk soils,,chalk soils,http://aims.fao.org/aos/agrovoc/c_1493,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
chemical soil types,,chemical soil types,http://aims.fao.org/aos/agrovoc/c_1519,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Chernozems,black soil,Chernozems (black soil),http://aims.fao.org/aos/agrovoc/c_1533,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
chisel ploughs,,chisel ploughs,http://aims.fao.org/aos/agrovoc/c_99dd11f2,NARROWER_DESCENDANT
clay,,clay,http://aims.fao.org/aos/agrovoc/c_15619,NARROWER_DESCENDANT
clay soils,argillaceous soils; heavy soils,"clay soils (argillaceous soils, heavy soils)",http://aims.fao.org/aos/agrovoc/c_1659,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
claypan soils,,claypan soils,http://aims.fao.org/aos/agrovoc/c_1660,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
climatic soil types,,climatic soil types,http://aims.fao.org/aos/agrovoc/c_1668,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
coarse sand,,coarse sand,http://aims.fao.org/aos/agrovoc/c_c03927e1,NARROWER_DESCENDANT
coarse silt,,coarse silt,http://aims.fao.org/aos/agrovoc/c_c1b90f01,NARROWER_DESCENDANT
coastal erosion,,coastal erosion,http://aims.fao.org/aos/agrovoc/c_9949,NARROWER_DESCENDANT
coastal soils,,coastal soils,http://aims.fao.org/aos/agrovoc/c_1699,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
colluvium,,colluvium,http://aims.fao.org/aos/agrovoc/c_ce89717c,NARROWER_DESCENDANT
compost mulches,,compost mulches,http://aims.fao.org/aos/agrovoc/c_d2c183d0,NARROWER_DESCENDANT
conservation tillage,,conservation tillage,http://aims.fao.org/aos/agrovoc/c_33445,NARROWER_DESCENDANT
conventional tillage,,conventional tillage,http://aims.fao.org/aos/agrovoc/c_34250,NARROWER_DESCENDANT
Cryosols,,Cryosols,http://aims.fao.org/aos/agrovoc/c_829043c3,NARROWER_DESCENDANT
cultivators,discs; disks,"cultivators (discs, disks)",http://aims.fao.org/aos/agrovoc/c_2019,NARROWER_DESCENDANT
cultural soil types,,cultural soil types,http://aims.fao.org/aos/agrovoc/c_2022,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
deep ploughing,,deep ploughing,http://aims.fao.org/aos/agrovoc/c_330745,NARROWER_DESCENDANT
deep tillage,deep cultivation,deep tillage (deep cultivation),http://aims.fao.org/aos/agrovoc/c_36704,NARROWER_DESCENDANT
delta soils,,delta soils,http://aims.fao.org/aos/agrovoc/c_2169,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
desert soils,,desert soils,http://aims.fao.org/aos/agrovoc/c_2203,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
diagnostic horizons,,diagnostic horizons,http://aims.fao.org/aos/agrovoc/c_29ac0905,NARROWER_DESCENDANT
diorite soils,,diorite soils,http://aims.fao.org/aos/agrovoc/c_2286,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
disc harrows,,disc harrows,http://aims.fao.org/aos/agrovoc/c_25794,NARROWER_DESCENDANT
disc ploughs,,disc ploughs,http://aims.fao.org/aos/agrovoc/c_25694,NARROWER_DESCENDANT
disking,,disking,http://aims.fao.org/aos/agrovoc/c_24454,NARROWER_DESCENDANT
dispersive soils,,dispersive soils,http://aims.fao.org/aos/agrovoc/c_2334,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
dolomitic lime (amendment),,dolomitic lime (amendment),http://aims.fao.org/aos/agrovoc/c_36452,NARROWER_DESCENDANT
drainage,,drainage,http://aims.fao.org/aos/agrovoc/c_2372,NARROWER_DESCENDANT
drainage equipment,,drainage equipment,http://aims.fao.org/aos/agrovoc/c_2373,NARROWER_DESCENDANT
drumlin soils,,drumlin soils,http://aims.fao.org/aos/agrovoc/c_2396,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
dry mulches,,dry mulches,http://aims.fao.org/aos/agrovoc/c_2399,NARROWER_DESCENDANT
dune fixation,,dune fixation,http://aims.fao.org/aos/agrovoc/c_10483,NARROWER_DESCENDANT
dune soils,,dune soils,http://aims.fao.org/aos/agrovoc/c_2409,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Durisols,,Durisols,http://aims.fao.org/aos/agrovoc/c_51ec138f,NARROWER_DESCENDANT
E horizons,,E horizons,http://aims.fao.org/aos/agrovoc/c_f4fd14d8,NARROWER_DESCENDANT
earthworms,earth worms,earthworms (earth worms),http://aims.fao.org/aos/agrovoc/c_29109,NARROWER_DESCENDANT
ecological soil types,,ecological soil types,http://aims.fao.org/aos/agrovoc/c_2463,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
edaphic factors,soil factors,edaphic factors (soil factors),http://aims.fao.org/aos/agrovoc/c_15617,DIRECT_LABEL_MATCH
entisols,,entisols,http://aims.fao.org/aos/agrovoc/c_b10d627e,NARROWER_DESCENDANT
eroded soils,,eroded soils,http://aims.fao.org/aos/agrovoc/c_2650,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
erosion,soil erosion; soil erosion phenomena,"erosion (soil erosion, soil erosion phenomena)",http://aims.fao.org/aos/agrovoc/c_2651,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
erosion control,,erosion control,http://aims.fao.org/aos/agrovoc/c_2652,NARROWER_DESCENDANT
erosion control plants,soil stabilizing plants,erosion control plants (soil stabilizing plants),http://aims.fao.org/aos/agrovoc/c_2653,DIRECT_LABEL_MATCH
evaporation suppressants,,evaporation suppressants,http://aims.fao.org/aos/agrovoc/c_2740,NARROWER_DESCENDANT
fenland soils,,fenland soils,http://aims.fao.org/aos/agrovoc/c_2854,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Ferralsols,laterite soils; latosols; oxisols,"Ferralsols (laterite soils, latosols, oxisols)",http://aims.fao.org/aos/agrovoc/c_2858,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
field capacity,,field capacity,http://aims.fao.org/aos/agrovoc/c_32445,NARROWER_DESCENDANT
field preparation,land preparation,field preparation (land preparation),http://aims.fao.org/aos/agrovoc/c_330639,NARROWER_DESCENDANT
fine sand,,fine sand,http://aims.fao.org/aos/agrovoc/c_a91f25d6,NARROWER_DESCENDANT
fine silt,,fine silt,http://aims.fao.org/aos/agrovoc/c_0f15e6e6,NARROWER_DESCENDANT
fine soil,,fine soil,http://aims.fao.org/aos/agrovoc/c_5749f32e,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Fluvisols,,Fluvisols,http://aims.fao.org/aos/agrovoc/c_3000,NARROWER_DESCENDANT
forest soils,woodland soils,forest soils (woodland soils),http://aims.fao.org/aos/agrovoc/c_3051,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
free-living nematodes,soil nematodes (non parasitic),free-living nematodes (soil nematodes (non parasitic)),http://aims.fao.org/aos/agrovoc/c_36731,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
frigid soils,arctic soils,frigid soils (arctic soils),http://aims.fao.org/aos/agrovoc/c_3108,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
frost heave,frost heaving,frost heave (frost heaving),http://aims.fao.org/aos/agrovoc/c_8cbca199,NARROWER_DESCENDANT
gas turbation,,gas turbation,http://aims.fao.org/aos/agrovoc/c_b09277cb,NARROWER_DESCENDANT
gaseous nitrogen,,gaseous nitrogen,http://aims.fao.org/aos/agrovoc/c_c696e530,NARROWER_DESCENDANT
gelisols,,gelisols,http://aims.fao.org/aos/agrovoc/c_44ac37ac,NARROWER_DESCENDANT
genetic soil types,soil units,genetic soil types (soil units),http://aims.fao.org/aos/agrovoc/c_3219,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
glacial abrasion,,glacial abrasion,http://aims.fao.org/aos/agrovoc/c_d12f8016,NARROWER_DESCENDANT
glacial erosion,,glacial erosion,http://aims.fao.org/aos/agrovoc/c_b96cda43,NARROWER_DESCENDANT
glacial till soils,,glacial till soils,http://aims.fao.org/aos/agrovoc/c_3269,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Gleysols,,Gleysols,http://aims.fao.org/aos/agrovoc/c_3276,NARROWER_DESCENDANT
granite soils,,granite soils,http://aims.fao.org/aos/agrovoc/c_3356,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
grassland soils,pasture soils,grassland soils (pasture soils),http://aims.fao.org/aos/agrovoc/c_3365,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
gravel,,gravel,http://aims.fao.org/aos/agrovoc/c_24850,NARROWER_DESCENDANT
gravel mulches,,gravel mulches,http://aims.fao.org/aos/agrovoc/c_11342,NARROWER_DESCENDANT
gravimetric water content,gravimetric soil water content,gravimetric water content (gravimetric soil water content),http://aims.fao.org/aos/agrovoc/c_76b9bd59,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
green feed,soilage (feed); succulent feeds,"green feed (soilage (feed), succulent feeds)",http://aims.fao.org/aos/agrovoc/c_3374,DIRECT_LABEL_MATCH
greenhouse soils,,greenhouse soils,http://aims.fao.org/aos/agrovoc/c_3378,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
greywacke soils,,greywacke soils,http://aims.fao.org/aos/agrovoc/c_3385,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
greyzems,,greyzems,http://aims.fao.org/aos/agrovoc/c_3386,NARROWER_DESCENDANT
growing media,growth media; rooting media; soil substrates,"growing media (growth media, rooting media, soil substrates)",http://aims.fao.org/aos/agrovoc/c_3393,DIRECT_LABEL_MATCH
gully control,,gully control,http://aims.fao.org/aos/agrovoc/c_2c35fa5f,NARROWER_DESCENDANT
gully erosion,,gully erosion,http://aims.fao.org/aos/agrovoc/c_25010,NARROWER_DESCENDANT
gypsiferous soils,,gypsiferous soils,http://aims.fao.org/aos/agrovoc/c_3452,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Gypsisols,,Gypsisols,http://aims.fao.org/aos/agrovoc/c_61704b51,NARROWER_DESCENDANT
hardpans,,hardpans,http://aims.fao.org/aos/agrovoc/c_c27ddf24,NARROWER_DESCENDANT
harrowing,raking,harrowing (raking),http://aims.fao.org/aos/agrovoc/c_3497,NARROWER_DESCENDANT
harrows,,harrows,http://aims.fao.org/aos/agrovoc/c_3498,NARROWER_DESCENDANT
heathland soils,,heathland soils,http://aims.fao.org/aos/agrovoc/c_3523,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
heavy-duty ploughs,,heavy-duty ploughs,http://aims.fao.org/aos/agrovoc/c_25697,NARROWER_DESCENDANT
hill soils,,hill soils,http://aims.fao.org/aos/agrovoc/c_3615,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Histosols,,Histosols,http://aims.fao.org/aos/agrovoc/c_3636,NARROWER_DESCENDANT
hoes,,hoes,http://aims.fao.org/aos/agrovoc/c_25733,NARROWER_DESCENDANT
horticultural soils,,horticultural soils,http://aims.fao.org/aos/agrovoc/c_3670,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
hot water-extractable nitrogen,hot water-soluble nitrogen; hot-water extractable nitrogen,"hot water-extractable nitrogen (hot water-soluble nitrogen, hot-water extractable nitrogen)",http://aims.fao.org/aos/agrovoc/c_6ed53459,NARROWER_DESCENDANT
humus,moder; mor; mull,"humus (moder, mor, mull)",http://aims.fao.org/aos/agrovoc/c_3693,NARROWER_DESCENDANT
hydraulic conductivity,soil hydraulic conductivity,hydraulic conductivity (soil hydraulic conductivity),http://aims.fao.org/aos/agrovoc/c_25579,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
hydraulic potential (soil),,hydraulic potential (soil),http://aims.fao.org/aos/agrovoc/c_35950,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
hydroculture,,hydroculture,http://aims.fao.org/aos/agrovoc/c_10154,NARROWER_DESCENDANT
hydromorphic soils,,hydromorphic soils,http://aims.fao.org/aos/agrovoc/c_25315,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
hydroponics,water culture,hydroponics (water culture),http://aims.fao.org/aos/agrovoc/c_3734,NARROWER_DESCENDANT
iceberg scouring,ice scouring,iceberg scouring (ice scouring),http://aims.fao.org/aos/agrovoc/c_51a34cfc,NARROWER_DESCENDANT
igneous rock soils,,igneous rock soils,http://aims.fao.org/aos/agrovoc/c_3792,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
illitic soils,,illitic soils,http://aims.fao.org/aos/agrovoc/c_3797,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
in situ soil conservation,,in situ soil conservation,http://aims.fao.org/aos/agrovoc/c_330803,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
inceptisols,,inceptisols,http://aims.fao.org/aos/agrovoc/c_90831e99,NARROWER_DESCENDANT
indicator animals,bioindicators (animal),indicator animals (bioindicators (animal)),http://aims.fao.org/aos/agrovoc/c_24184,NARROWER_DESCENDANT
indicator microorganisms,,indicator microorganisms,http://aims.fao.org/aos/agrovoc/c_5b2945bb,NARROWER_DESCENDANT
indicator organisms,biochemical indicators (organisms); bioindicators (organisms); biological markers (organisms); indicator hosts; indicator species; soil indicators (organisms),"indicator organisms (biochemical indicators (organisms), bioindicators (organisms), biological markers (organisms), indicator hosts, indicator species, soil indicators (organisms))",http://aims.fao.org/aos/agrovoc/c_24040,DIRECT_LABEL_MATCH
indicator plants,bioindicators (plants),indicator plants (bioindicators (plants)),http://aims.fao.org/aos/agrovoc/c_3830,NARROWER_DESCENDANT
infiltration water,gravitational water; seepage water,"infiltration water (gravitational water, seepage water)",http://aims.fao.org/aos/agrovoc/c_25321,NARROWER_DESCENDANT
inorganic amendments,,inorganic amendments,http://aims.fao.org/aos/agrovoc/c_27871,NARROWER_DESCENDANT
inorganic nitrogen,mineral nitrogen,inorganic nitrogen (mineral nitrogen),http://aims.fao.org/aos/agrovoc/c_19dbe72d,NARROWER_DESCENDANT
integrated soil fertility management,,integrated soil fertility management,http://aims.fao.org/aos/agrovoc/c_8fc04948,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
interrill erosion,,interrill erosion,http://aims.fao.org/aos/agrovoc/c_dc754417,NARROWER_DESCENDANT
ion transport in soil,,ion transport in soil,http://aims.fao.org/aos/agrovoc/c_25019,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
irrigated soils,,irrigated soils,http://aims.fao.org/aos/agrovoc/c_3953,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
karst soils,,karst soils,http://aims.fao.org/aos/agrovoc/c_34036,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Kastanozems,,Kastanozems,http://aims.fao.org/aos/agrovoc/c_4079,NARROWER_DESCENDANT
land rehabilitation,soil rehabilitation,land rehabilitation (soil rehabilitation),http://aims.fao.org/aos/agrovoc/c_33534,DIRECT_LABEL_MATCH
land take,,land take,http://aims.fao.org/aos/agrovoc/c_03e78242,NARROWER_DESCENDANT
layered soils,,layered soils,http://aims.fao.org/aos/agrovoc/c_4232,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
leaching,lixiviation,leaching (lixiviation),http://aims.fao.org/aos/agrovoc/c_15591,NARROWER_DESCENDANT
leaf mould,,leaf mould,http://aims.fao.org/aos/agrovoc/c_4238,NARROWER_DESCENDANT
leaf mulches,,leaf mulches,http://aims.fao.org/aos/agrovoc/c_20c16f0f,NARROWER_DESCENDANT
Leptosols,,Leptosols,http://aims.fao.org/aos/agrovoc/c_da0af025,NARROWER_DESCENDANT
lime (amendment),,lime (amendment),http://aims.fao.org/aos/agrovoc/c_36454,NARROWER_DESCENDANT
liming,,liming,http://aims.fao.org/aos/agrovoc/c_25206,NARROWER_DESCENDANT
liming materials,calcareous magnesium amendments,liming materials (calcareous magnesium amendments),http://aims.fao.org/aos/agrovoc/c_200,NARROWER_DESCENDANT
