ID;preflabel;definition ;SoilVoc_concepts;broader match;exact match;close match;source (name type of source DOI, ISBN etc);publishing organisation;titel or reference to document
soil_classification_soil;soil;the top layer of the Earth’s crust, situated between the bedrock or the parent material and the land surface, and which is composed of mineral particles, organic matter, water, air and living organisms;https://soilwise-he.github.io/soil-health#Soil; ;"https://soilwise-he.github.io/soil-health#Soil; http://aims.fao.org/aos/agrovoc/c_7156; http://opendata.inrae.fr/thesaurusINRAE/c_1524; http://www.eionet.europa.eu/gemet/concept/7843; http://id.agrisemantics.org/gacs/C113"; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecosystem_services_ecosystem;ecosystem;"a dynamic complex of plant, animal and micro-organism communities and their non-living environment, interacting as a functional unit;"; ;;" http://www.eionet.europa.eu/gemet/concept/2519; http://purl.obolibrary.org/obo/ENVO_01001110";"http://aims.fao.org/aos/agrovoc/c_2482; http://opendata.inrae.fr/thesaurusINRAE/c_8373";https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecossystem_services_ecosystem_services;ecosystem services;the direct or indirect contributions of ecosystems to the environmental, economic, social, cultural and other benefits that people derive from those ecosystems;https://soilwise-he.github.io/soil-health#EcosystemServices; ;"https://soilwise-he.github.io/soil-health#EcosystemServices; http://aims.fao.org/aos/agrovoc/c_1348040570280; http://www.eionet.europa.eu/gemet/concept/15138";http://opendata.inrae.fr/thesaurusINRAE/c_1611;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_functions_soil_biodiversity;soil biodiveristy;the variation in soil life, from genes to communities of organisms, and the ecological complexes of which they are part, that is complexes ranging from soil micro-habitats to landscapes;https://soilwise-he.github.io/soil-health#SoilBiologicalProperties; ;"http://www.eionet.europa.eu/gemet/concept/15296; http://opendata.inrae.fr/thesaurusINRAE/c_642; ";https://soilwise-he.github.io/soil-health#SoilBiologicalProperties;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_functions_soil_health;soil health;the physical, chemical and biological condition of soil, determining its capacity to function as a vital living system and to provide ecosystem services;https://soilwise-he.github.io/soil-health#SoilHealth;http://aims.fao.org/aos/agrovoc/c_a9645d28;https://soilwise-he.github.io/soil-health#SoilHealth: http://opendata.inrae.fr/thesaurusINRAE/c_2d69fde2: ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecosustem_services_soil_resilience;soil resilience;the ability of soil to preserve its functions and maintain its capacity to provide ecosystem services, and to withstand and recover from disturbances;https://soilwise-he.github.io/soil-health#SoilIndicators;http://aims.fao.org/aos/agrovoc/c_1374480530924; ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_soil_management_practices;soil management practices;practices that ipact the physical, chemical, or biological properties of the soil;https://soilwise-he.github.io/soil-health#SoilManagement;http://aims.fao.org/aos/agrovoc/c_7176; ;https://soilwise-he.github.io/soil-health#SoilManagement;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;soil district;a part of the territory of a Member State, which has been delineated by that Member State in accordance with this Directive;https://soilwise-he.github.io/soil-health#Physiography; ; ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;soil unit;a spatially discrete area within a soil district resulting from the intersection of sets of spatial data used as factors for statistical homogeneity within that soil district;https://soilwise-he.github.io/soil-health#SoilClassification;http://aims.fao.org/aos/agrovoc/c_7195; ;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_classification_soil_descriptor;soil descriptor; a parameter describing a physical, chemical or biological characteristic of soil health;https://soilwise-he.github.io/soil-health#SoilDescription; ;;https://soilwise-he.github.io/soil-health#SoilDescription;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_classification_soil_health_assessment;soil health assessment;means the evaluation of the health of soil based on the measurement or estimation of the values of soil descriptors;https://soilwise-he.github.io/soil-health#SoilQuality;https://soilwise-he.github.io/soil-health#SoilHealth: http://opendata.inrae.fr/thesaurusINRAE/c_2d69fde2: ; ;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threats_soil_contamination;soil contamination;the presence of a substance in soil at a level that may be, directly or indirectly, harmful to human health or the environment;https://soilwise-he.github.io/soil-health#SoilPollution; ;http://www.eionet.europa.eu/gemet/concept/15298;http://opendata.inrae.fr/thesaurusINRAE/c_c62d3822;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threats_contaminant;contaminant;a substance liable to cause soil contamination or contamination of bedrock or parent material;https://soilwise-he.github.io/soil-health#SoilChemical; ;http://data.loterre.fr/ark:/67375/Q1W-KC7SB4S3-2;"http://aims.fao.org/aos/agrovoc/c_4ba65a4a; http://opendata.inrae.fr/thesaurusINRAE/c_13420";https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threat_potentially_contaminated_site;potentially contaminated site;a delineated area where soil contamination or contamination of bedrock or parent material caused by anthropogenic point-source activities is suspected based on relevant evidence;https://soilwise-he.github.io/soil-health#SoilPollution; ;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threat_contaminated_site;contaminated site;a delineated area with confirmed soil contamination or contamination of bedrock or parent material caused by anthropogenic point-source activities;https://soilwise-he.github.io/soil-health#SoilPollution; ;https://agroportal.eu/ontologies/ONTOBIOTOPE/OBT_000244;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;land;the surface of the Earth that is not regularly covered by water bodies;https://soilwise-he.github.io/soil-health#Physiography; ;"http://aims.fao.org/aos/agrovoc/c_4172; http://www.eionet.europa.eu/gemet/concept/4599";;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;land cover;the physical and biological cover of the surface of the Earth;https://soilwise-he.github.io/soil-health#LandCover; ;"http://www.eionet.europa.eu/gemet/concept/4612; http://opendata.inrae.fr/thesaurusINRAE/c_0617cfcc; http://aims.fao.org/aos/agrovoc/c_37897"; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threats_soil_sealing;soil sealing;the covering of soil with completely or partially impermeable material;https://soilwise-he.github.io/soil-health#SoilSealing; ;"https://soilwise-he.github.io/soil-health#SoilSealing; http://aims.fao.org/aos/agrovoc/c_f9554e7c";http://opendata.inrae.fr/thesaurusINRAE/c_11338;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threats_sealed_soil;sealed soil;an area of soil that underwent soil sealing;https://soilwise-he.github.io/soil-health#SoilSealing;"https://soilwise-he.github.io/soil-health#SoilSealing; http://aims.fao.org/aos/agrovoc/c_f9554e7c";https://soilwise-he.github.io/soil-health#SealedSoil;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_soil_removal;soil removal;the temporary or long-term total or partial removal of soil in an area;either soil threat or soil management;;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_desealing;de-sealing;the conversion of sealed soil into soil that is not sealed soil;https://soilwise-he.github.io/soil-health#SoilManagement; ;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;transfer function;a mathematical rule that enables the value of a measurement performed using a methodology different from a reference methodology to be converted into the value that would be obtained by performing the soil measurement using the reference methodology; ;;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;public concerned ;the public affected or likely to be affected by soil degradation, or having an interest in the decision-making procedures related to the implementation of the obligations under this Directive, including landowners, land managers and land users, as well as non-governmental organisations promoting the protection of human health or the environment and meeting any requirements under national law; ;;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_soil_regeneration;soil regeneration;an intentional activity aimed at changing the condition of soil from degraded to healthy;https://soilwise-he.github.io/soil-health#SoilManagement;http://aims.fao.org/aos/agrovoc/c_98fb7e17;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;risk;the likelihood of harmful effects to human health or the environment resulting from exposure to soil contamination or to contamination of bedrock or parent material;https://soilwise-he.github.io/soil-health#SoilThreats; ;;"http://aims.fao.org/aos/agrovoc/c_6612; http://www.eionet.europa.eu/gemet/concept/7233";https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_classification_soil_investigation;soil investigation;a process that can be performed in multiple and iterative phases to assess the presence and levels of contaminants in soil, bedrock or parent material and, if relevant, to characterise and determine the extent of a contaminated site;https://soilwise-he.github.io/soil-health#SoilDescription;http://opendata.inrae.fr/thesaurusINRAE/c_11640;http://opendata.inrae.fr/thesaurusINRAE/c_11640;http://aims.fao.org/aos/agrovoc/c_8595c402;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_soil_remediation;soil remediation;a set of actions that reduce, isolate or immobilise contaminants in soil, bedrock or parent material;https://soilwise-he.github.io/soil-health#SoilManagement;http://opendata.inrae.fr/thesaurusINRAE/c_13554;http://opendata.inrae.fr/thesaurusINRAE/c_13554; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_risk_reduction_measure;risk reduction measures;measures that aim to reduce the risks that contaminated sites pose to human health and the environment, either by means of soil remediation or modification of the source-pathway-receptor linkage without changing the characteristics of the contamination itself.;https://soilwise-he.github.io/soil-health#SoilManagement;http://www.eionet.europa.eu/gemet/concept/7241; ;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;natural land;an area of land on which the natural processes are dominant and human intervention is minimal or non-existent, and on which the primary ecological functions and species composition have not been substantially modified;https://soilwise-he.github.io/soil-health#LandCover;http://opendata.inrae.fr/thesaurusINRAE/c_21453; ;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_threats_net_sealing;net sealing;the result of soil sealing minus de-sealing;https://soilwise-he.github.io/soil-health#SoilSealing; ;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_function_settlement_area;settlement area;a settlement area within the meaning of the 2006 Guidelines of the Intergovernmental Panel on Climate Change (IPCC) for National Greenhouse Gas Inventories; https://soilwise-he.github.io/soil-health;https://soilwise-he.github.io/soil-health#SettlementAreas;;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
Chemical_physical_or_biological_soil_properties_organic_soils;organic soils;organic soils within the meaning of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;https://soilwise-he.github.io/soil-health#SoilDescription; ;http://aims.fao.org/aos/agrovoc/c_5390;http://opendata.inrae.fr/thesaurusINRAE/c_732;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
Chemical_physical_or_biological_soil_properties_mineral_soils;mineral soils;mineral soils within the meaning of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;https://soilwise-he.github.io/soil-health#SoilDescription; ;http://aims.fao.org/aos/agrovoc/c_4853; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_managed_soils;managed soils;soils where soil management practices are carried out;https://soilwise-he.github.io/soil-health#SoilManagement; ;;https://soilwise-he.github.io/soil-health#SoilManagement;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
<facetgroup><preflabel_in_English_without_spaces>;The ID is language-independent,;;Search soilwise vocabs for term this defenition falls under;broader term to narrower term -> reference to URI from agrovoc or eurovoc (or other) or ID when in same table;exact and close match -> reference to URI;;;;
